filename,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD,bug
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUnionRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableValues.java,0.876404494,0.666666667,0.925,0.75,0.777777778,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableValuesRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableWindow.java,0.932994455,0.78358209,0.937093275,0.767857143,0.911111111,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableWindowRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/JavaRelImplementor.java,0.703703704,0.5,0.875,0.666666667,0.8,0
core/src/main/java/org/apache/calcite/adapter/enumerable/JavaRowFormat.java,0.836923077,0.695652174,0.867647059,0.727272727,0.838709677,0
core/src/main/java/org/apache/calcite/adapter/enumerable/NestedBlockBuilderImpl.java,1,0.833333333,1,0.9,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/NullPolicy.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/PhysTypeImpl.java,0.924281984,0.875,0.927480916,0.842105263,0.933333333,1
core/src/main/java/org/apache/calcite/adapter/enumerable/ReflectiveCallNotNullImplementor.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/RexImpTable.java,0.94493263,0.899253731,0.962386511,0.901098901,0.9921875,1
core/src/main/java/org/apache/calcite/adapter/enumerable/RexToLixTranslator.java,0.872795297,0.872246696,0.928395062,0.831325301,0.972222222,0
core/src/main/java/org/apache/calcite/adapter/enumerable/StrictAggImplementor.java,0.938931298,0.888888889,0.923809524,0.862068966,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/StrictWinAggImplementor.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/WinAggImplementor.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/impl/AggAddContextImpl.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/impl/AggResetContextImpl.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/impl/AggResultContextImpl.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/impl/WinAggAddContextImpl.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/impl/WinAggResetContextImpl.java,0.56097561,0,0.571428571,0.142857143,0.142857143,0
core/src/main/java/org/apache/calcite/adapter/enumerable/impl/WinAggResultContextImpl.java,0.789473684,0,0.823529412,0.785714286,0.785714286,0
core/src/main/java/org/apache/calcite/adapter/java/AbstractQueryableTable.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/java/ReflectiveSchema.java,0.618951613,0.852941176,0.738738739,0.727272727,0.740740741,0
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcConvention.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcImplementor.java,0.778639104,0.710526316,0.826923077,0.676470588,0.846153846,1
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcQueryProvider.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,0.540301151,0.437869822,0.549266247,0.445714286,0.604651163,1
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcSchema.java,0.838879159,0.678571429,0.843137255,0.574074074,0.807692308,1
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcTable.java,0.769784173,0.833333333,0.839285714,0.777777778,0.8,1
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcTableScan.java,0.489795918,0.25,0.7,0.5,0.75,0
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcToEnumerableConverter.java,0.870216306,0.595238095,0.88028169,0.594594595,1,0
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcToEnumerableConverterRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcUtils.java,0.827089337,0.722222222,0.788235294,0.785714286,0.888888889,0
core/src/main/java/org/apache/calcite/config/CalciteConnectionConfigImpl.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/config/CalciteConnectionProperty.java,0.975524476,0.833333333,0.96875,0.8,0.857142857,0
core/src/main/java/org/apache/calcite/config/Lex.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/interpreter/AbstractSingleNode.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/interpreter/AggregateNode.java,0.400848356,0.534482759,0.386792453,0.388059701,0.368421053,1
core/src/main/java/org/apache/calcite/interpreter/BindableConvention.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/interpreter/Bindables.java,0.310085837,0.441176471,0.314285714,0.275510204,0.24691358,0
core/src/main/java/org/apache/calcite/interpreter/Context.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/interpreter/FilterNode.java,1,0.833333333,1,0.8,1,0
core/src/main/java/org/apache/calcite/interpreter/InterpretableConvention.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/interpreter/InterpretableConverter.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/interpreter/InterpretableRel.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/interpreter/Interpreter.java,0.401960784,0.134146341,0.521505376,0.35,0.722222222,0
core/src/main/java/org/apache/calcite/interpreter/Interpreters.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/interpreter/JaninoRexCompiler.java,0.885608856,0.75,0.883116883,0.7,0.833333333,0
core/src/main/java/org/apache/calcite/interpreter/JoinNode.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/interpreter/Nodes.java,0.787878788,0,0.791666667,0.75,0.75,0
core/src/main/java/org/apache/calcite/interpreter/NoneToBindableConverterRule.java,0.461538462,0,0.6,0.666666667,0.666666667,0
core/src/main/java/org/apache/calcite/interpreter/ProjectNode.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/interpreter/Row.java,0.555555556,0.5,0.739130435,0.55,0.647058824,0
core/src/main/java/org/apache/calcite/interpreter/SortNode.java,0.633699634,0.566666667,0.688888889,0.44,0.6,1
core/src/main/java/org/apache/calcite/interpreter/TableScanNode.java,0.662711864,0.633333333,0.704225352,0.613636364,0.785714286,0
core/src/main/java/org/apache/calcite/interpreter/UnionNode.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/interpreter/ValuesNode.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/interpreter/WindowNode.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/jdbc/CalciteConnectionImpl.java,0.920325203,0.846153846,0.898648649,0.769230769,0.788461538,0
core/src/main/java/org/apache/calcite/jdbc/CalciteFactory.java,0.75,0,0.714285714,0.5,0.5,0
core/src/main/java/org/apache/calcite/jdbc/CalciteJdbc41Factory.java,0.472477064,0,0.313432836,0.4,0.4,0
core/src/main/java/org/apache/calcite/jdbc/CalciteMetaImpl.java,0.969507428,0.862745098,0.947791165,0.911764706,0.97260274,0
core/src/main/java/org/apache/calcite/jdbc/CalcitePrepare.java,0.735955056,0.833333333,0.75,0.695652174,0.7,0
core/src/main/java/org/apache/calcite/jdbc/CalcitePreparedStatement.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/jdbc/CalciteResultSet.java,0.735042735,0.375,0.8,0.416666667,0.625,0
core/src/main/java/org/apache/calcite/jdbc/CalciteRootSchema.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/jdbc/CalciteSchema.java,0.795691452,0.618055556,0.837060703,0.695945946,0.934210526,0
core/src/main/java/org/apache/calcite/jdbc/CalciteStatement.java,0.88372093,0.833333333,0.916666667,0.777777778,0.833333333,1
core/src/main/java/org/apache/calcite/jdbc/Driver.java,0.846153846,0.75,0.9,0.928571429,1,0
core/src/main/java/org/apache/calcite/jdbc/JavaRecordType.java,0.913043478,0.7,1,0.666666667,1,0
core/src/main/java/org/apache/calcite/jdbc/JavaTypeFactoryImpl.java,0.864197531,0.867346939,0.919708029,0.821428571,0.928571429,1
core/src/main/java/org/apache/calcite/jdbc/MetadataSchema.java,0.553846154,0,0.615384615,0.625,0.625,0
core/src/main/java/org/apache/calcite/jdbc/SqlTimeoutException.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/materialize/Lattice.java,0.87270974,0.778894472,0.925842697,0.732142857,0.926470588,0
core/src/main/java/org/apache/calcite/materialize/MaterializationActor.java,0.673684211,0,0.826086957,0.4,0.8,0
core/src/main/java/org/apache/calcite/materialize/MaterializationKey.java,0.322580645,0,0.5,0.285714286,0.5,0
core/src/main/java/org/apache/calcite/materialize/MaterializationService.java,0.929133858,0.785714286,0.909090909,0.666666667,0.818181818,0
core/src/main/java/org/apache/calcite/materialize/TileKey.java,0.788732394,0.6,0.9,0.444444444,0.75,0
core/src/main/java/org/apache/calcite/materialize/TileSuggester.java,0.76702509,0.9,0.75,0.529411765,0.482758621,0
core/src/main/java/org/apache/calcite/model/JsonColumn.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonCustomSchema.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonCustomTable.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonFunction.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonJdbcSchema.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonLattice.java,0.984126984,0.916666667,1,0.923076923,1,0
core/src/main/java/org/apache/calcite/model/JsonMapSchema.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonMaterialization.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonMeasure.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonRoot.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonSchema.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonStream.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonTable.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonTile.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/JsonView.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/model/ModelHandler.java,0.827186512,0.712328767,0.899543379,0.725806452,1,1
core/src/main/java/org/apache/calcite/plan/AbstractRelOptPlanner.java,0.474409449,0.518518519,0.613445378,0.507462687,0.725,0
core/src/main/java/org/apache/calcite/plan/CommonRelSubExprRule.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/plan/Contexts.java,0.215189873,0.047619048,0.25,0.291666667,0.538461538,0
core/src/main/java/org/apache/calcite/plan/Convention.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/plan/ConventionTraitDef.java,0.295597484,0.184210526,0.392405063,0.411764706,0.8,1
core/src/main/java/org/apache/calcite/plan/MulticastRelOptListener.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/plan/RelCompositeTrait.java,0.733333333,0.642857143,0.717391304,0.75862069,0.933333333,0
core/src/main/java/org/apache/calcite/plan/RelOptAbstractTable.java,0.571428571,0.5,0.666666667,0.5,0.538461538,0
core/src/main/java/org/apache/calcite/plan/RelOptCluster.java,0.607843137,0.25,0.676470588,0.578947368,0.647058824,0
core/src/main/java/org/apache/calcite/plan/RelOptCostImpl.java,0.042553191,0,0.038461538,0.038461538,0.047619048,0
core/src/main/java/org/apache/calcite/plan/RelOptLattice.java,0.967741935,0.833333333,0.928571429,0.857142857,1,0
core/src/main/java/org/apache/calcite/plan/RelOptListener.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/plan/RelOptMaterialization.java,0.725446429,0.5,0.703125,0.486486486,1,0
core/src/main/java/org/apache/calcite/plan/RelOptPlanner.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java,1,0.75,1,0.8,1,0
core/src/main/java/org/apache/calcite/plan/RelOptQuery.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/plan/RelOptRule.java,0.907692308,0.770833333,0.951456311,0.759259259,0.933333333,0
core/src/main/java/org/apache/calcite/plan/RelOptRuleCall.java,0.842696629,0.5,0.875,0.692307692,0.75,0
core/src/main/java/org/apache/calcite/plan/RelOptRuleOperand.java,0.782608696,0.71875,0.88372093,0.642857143,0.909090909,0
core/src/main/java/org/apache/calcite/plan/RelOptRuleOperandChildPolicy.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/plan/RelOptRuleOperandChildren.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/plan/RelOptSamplingParameters.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/plan/RelOptUtil.java,0.520768107,0.400690846,0.521138913,0.44137931,0.741007194,1
core/src/main/java/org/apache/calcite/plan/RelTraitDef.java,0.685714286,0.666666667,0.766666667,0.714285714,0.818181818,0
core/src/main/java/org/apache/calcite/plan/RelTraitPropagationVisitor.java,0.758064516,0.75,0.777777778,0.714285714,1,0
core/src/main/java/org/apache/calcite/plan/RelTraitSet.java,0.843657817,0.785714286,0.869281046,0.73255814,0.888888889,0
core/src/main/java/org/apache/calcite/plan/Strong.java,0.97752809,0.933333333,0.952380952,0.933333333,1,0
core/src/main/java/org/apache/calcite/plan/SubstitutionVisitor.java,0.638489209,0.538258575,0.672597865,0.528795812,0.698412698,1
core/src/main/java/org/apache/calcite/plan/TableAccessMap.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/plan/hep/HepInstruction.java,0.853211009,0.75,0.836734694,0.806451613,0.851851852,0
core/src/main/java/org/apache/calcite/plan/hep/HepMatchOrder.java,1,0,1,1,1,0
